study_hours,sleep_hours,attendance_percentage,assignments_completed,screen_time,coding_interest,logical_reasoning,creativity_score,communication_skill,stress_level,performance_score,career,Data Science,Backend Development,Cybersecurity,UI/UX Design,Web Development,Cloud Computing,Mobile Development,Game Development,DevOps Engineering,Software Testing,recommended_career
2,6,90,2,7,10,8,5,3,4,44.607081471478836,Data Science,54.434724798767206,79.33884297520662,60.13023991916907,44.067796610169495,61.49425287356323,62.59774148212035,62.28571428571429,67.03296703296704,72.28571428571428,51.25000000000001,Backend Development
4,6,91,9,11,1,8,2,5,5,61.62749364607677,Cybersecurity,52.36979437189164,59.09090909090907,70.83490166419922,32.20338983050847,27.58620689655173,72.84005397468401,32.57142857142857,32.96703296703298,82.85714285714286,62.5,DevOps Engineering
8,4,99,7,8,7,8,3,8,1,71.57747072933918,Cybersecurity,73.13934533732797,83.05785123966942,84.63991869769761,49.15254237288136,53.448275862068975,87.220444224403,55.99999999999999,50.54945054945056,94.85714285714286,79.37500000000001,DevOps Engineering
7,8,69,5,10,4,8,3,8,6,61.33719219118118,Software Testing,59.16616319756728,45.867768595041326,56.186913327786904,49.15254237288136,45.97701149425288,53.22028368367793,49.71428571428572,45.05494505494506,44.85714285714287,64.375,Software Testing
9,7,94,7,11,6,1,5,2,7,55.34843839645388,DevOps Engineering,44.60892939698346,55.371900826446286,58.709709683304325,42.93785310734463,52.87356321839081,63.88958985386392,55.99999999999999,54.94505494505495,68.57142857142857,21.25,DevOps Engineering
8,8,89,6,3,8,2,5,6,8,65.21017453604586,DevOps Engineering,57.50640466423103,59.50413223140496,62.39633618619236,45.19774011299435,49.42528735632183,65.82718993432036,47.99999999999999,45.05494505494506,61.142857142857146,36.87500000000001,Cloud Computing
5,5,88,4,2,6,4,6,4,2,58.51212895680108,Web Development,51.2393435270444,55.371900826446286,63.84410626213904,39.54802259887007,39.08045977011494,65.7130426263983,36.57142857142857,42.85714285714287,65.99999999999999,39.37500000000001,DevOps Engineering
2,9,98,8,10,2,9,5,9,7,54.11703216038896,Cloud Computing,49.37039695934022,69.83471074380165,70.51385670464715,60.451977401129945,46.55172413793104,74.70722314719823,49.14285714285714,48.35164835164836,91.7142857142857,75.62500000000001,DevOps Engineering
5,7,72,3,7,1,3,6,10,6,42.58486795292187,DevOps Engineering,27.626337986749554,21.487603305785118,39.99048298925905,62.71186440677966,40.804597701149426,39.96245991522874,41.14285714285714,36.26373626373628,36.28571428571429,40.00000000000001,UI/UX Design
8,6,96,5,9,8,6,8,2,9,65.94817188721206,Game Development,66.40571416348706,75.6198347107438,71.66551691019627,57.06214689265536,66.66666666666666,75.90672731251415,66.85714285714285,75.82417582417584,76.85714285714286,38.125,DevOps Engineering
9,7,81,1,1,8,7,2,8,8,66.17502475729962,Backend Development,69.18380555221034,61.15702479338842,64.26102185993687,33.333333333333336,37.931034482758626,64.51010072466838,37.142857142857146,32.96703296703298,52.57142857142857,52.5,Data Science
9,6,96,1,3,9,8,4,1,4,80.35079223479696,Data Science,84.14707754349205,79.75206611570249,86.38414605962072,24.29378531073446,41.37931034482759,88.38662376645357,40.571428571428584,50.54945054945056,79.42857142857142,41.25,Cloud Computing
1,6,82,1,5,6,7,6,6,9,27.31754654776929,Backend Development,31.059243595812724,55.371900826446286,39.82235631935177,51.41242937853108,49.42528735632183,42.54613633877191,48.57142857142857,52.74725274725276,53.142857142857125,42.5,Backend Development
9,7,95,9,3,1,3,5,10,1,81.6163543590788,DevOps Engineering,60.164321496142335,47.93388429752066,82.14865054030115,50.847457627118644,28.16091954022989,84.50510337699068,26.857142857142858,23.076923076923084,82.0,61.25000000000001,Cloud Computing
7,6,54,6,1,9,6,1,1,6,58.31129330048128,Backend Development,61.74702684313107,45.454545454545446,42.33414672986244,5.649717514124294,26.436781609195403,36.49065896281341,26.285714285714285,30.76923076923077,20.85714285714285,42.5,Data Science
9,6,92,1,7,3,5,9,2,8,58.51996203191884,DevOps Engineering,49.944919288340586,47.93388429752066,63.849032724477276,53.10734463276836,45.40229885057472,67.59075621436243,43.99999999999999,58.241758241758255,64.28571428571429,18.750000000000004,Cloud Computing
8,5,97,1,7,6,10,3,3,4,75.05546180145947,Cybersecurity,78.1942638683844,76.44628099173553,86.19840364871666,29.378531073446325,38.50574712643678,88.21640449651841,40.57142857142857,47.25274725274726,84.85714285714285,52.500000000000014,Cloud Computing
1,8,83,8,10,10,4,2,9,2,43.85017502688437,Mobile Development,45.000445495514114,69.42148760330579,51.478097501185125,54.23728813559322,68.39080459770115,52.93958214806016,72.57142857142857,56.04395604395606,64.57142857142856,70.0,Mobile Development
8,8,89,6,8,10,1,9,5,2,62.38340053266457,Game Development,56.861254773754276,63.22314049586777,63.134214171487145,72.88135593220339,81.03448275862068,65.78293978827931,80.0,79.12087912087912,64.28571428571429,39.37500000000001,Web Development
8,9,60,10,5,9,7,7,10,10,67.89435368172083,Game Development,71.82597218518525,58.26446280991735,50.87695200108229,73.44632768361583,71.83908045977012,46.48089549378723,70.28571428571428,67.03296703296704,33.71428571428571,80.0,Software Testing
3,9,99,2,10,3,8,5,10,1,62.74863515751985,Cybersecurity,56.36593342768119,63.636363636363626,79.08719192296847,64.97175141242938,52.29885057471264,82.13177818877226,54.85714285714286,50.54945054945056,87.71428571428572,68.12500000000001,DevOps Engineering
1,5,52,2,5,5,2,6,2,5,18.108253947456113,DevOps Engineering,11.647986915073902,14.049586776859496,11.388838960664225,36.723163841807924,38.50574712643678,7.9874662521360955,37.71428571428571,43.95604395604396,5.142857142857134,14.375000000000002,Game Development
8,9,82,6,5,5,7,4,10,6,72.74514076157958,Software Testing,68.32814301704624,58.26446280991735,70.27996274313182,53.672316384180796,45.40229885057472,70.02601773001703,45.714285714285715,40.659340659340664,62.857142857142854,70.0,Cybersecurity
3,7,60,4,1,10,6,1,5,4,50.049714374151954,Backend Development,55.04022827387146,51.23966942148759,42.16963168185658,20.33898305084746,37.356321839080465,37.78081520124033,37.142857142857146,34.06593406593407,28.28571428571428,53.75000000000001,Data Science
3,4,65,9,10,7,5,4,5,4,43.9343902747756,Mobile Development,42.72519469446875,48.760330578512395,40.210308348915476,47.45762711864407,56.32183908045977,37.57025376067758,59.428571428571416,56.04395604395606,40.571428571428555,58.12500000000001,Mobile Development
1,4,67,5,5,4,4,9,1,5,26.810664810179013,DevOps Engineering,20.779634808600917,32.644628099173545,28.81173887432642,47.45762711864407,43.10344827586207,27.98885579837407,40.571428571428584,56.04395604395606,34.85714285714285,26.25,Game Development
5,4,79,7,6,4,2,1,3,5,49.839219876235205,DevOps Engineering,36.668462973300464,39.256198347107436,48.326553381280014,15.254237288135592,21.264367816091955,49.61914690272923,23.999999999999996,20.879120879120887,50.85714285714285,28.750000000000004,DevOps Engineering
7,5,97,8,1,7,10,10,5,9,75.73542554135445,Game Development,80.02539104895743,88.42975206611573,83.48139971154369,62.71186440677967,56.32183908045977,86.4469311477547,50.85714285714285,68.13186813186813,90.57142857142856,71.25,DevOps Engineering
9,5,59,0,11,9,6,3,9,8,47.34210496932707,Mobile Development,54.22795782176626,42.148760330578504,37.32207859706106,59.887005649717516,70.11494252873564,33.62657346935278,74.28571428571429,61.53846153846154,17.714285714285722,50.000000000000014,Mobile Development
7,6,67,2,7,4,5,5,10,9,44.90327160979783,DevOps Engineering,40.09983899950541,31.818181818181813,38.93287522628794,61.016949152542374,49.42528735632185,37.69641014973937,50.28571428571429,43.95604395604396,29.14285714285713,46.25000000000001,UI/UX Design
9,4,87,10,1,4,2,7,1,3,83.91657160203499,DevOps Engineering,65.34062652056572,49.58677685950413,76.04815824027357,30.508474576271176,27.011494252873568,77.0412516438242,23.428571428571427,36.26373626373628,68.28571428571428,32.50000000000001,Cloud Computing
8,7,68,6,11,6,10,9,8,3,67.29980703582913,UI/UX Design,72.14235633118719,58.67768595041323,63.71057046278562,83.61581920903954,77.01149425287356,59.10651702353263,77.71428571428571,82.41758241758244,51.42857142857142,81.87500000000001,UI/UX Design
2,9,85,5,2,6,7,6,1,1,56.41604593029229,Cloud Computing,54.28565557553375,62.809917355371894,65.04153832093854,29.378531073446325,33.9080459770115,65.36947892235868,31.428571428571427,46.15384615384617,70.0,46.87499999999999,DevOps Engineering
1,7,62,6,2,7,6,3,9,10,35.808737799407844,Backend Development,37.424999075538814,45.454545454545446,30.697319370696757,42.37288135593221,41.37931034482759,28.708206224442552,40.57142857142857,35.16483516483518,28.857142857142858,60.00000000000001,Software Testing
7,9,95,7,5,1,9,7,6,6,78.00239778490867,Cloud Computing,68.78899362719983,62.809917355371894,84.27823760057149,50.84745762711863,32.758620689655174,86.31262120167645,31.428571428571427,42.85714285714286,86.85714285714286,63.750000000000014,DevOps Engineering
7,4,52,5,10,3,10,4,1,4,57.385017379308934,Cybersecurity,58.42316030550512,34.29752066115702,46.78302979830751,29.378531073446336,33.33333333333334,39.12681116963051,36.57142857142857,48.35164835164836,26.285714285714274,52.5,Data Science
8,4,59,2,7,9,5,3,8,8,44.23499381798741,Mobile Development,49.20233771649527,41.735537190082646,34.11005900502353,49.71751412429379,59.19540229885059,30.82708577405614,61.14285714285715,51.64835164835166,18.571428571428573,47.500000000000014,Mobile Development
5,4,87,1,1,6,9,7,5,2,66.86272019971801,Cybersecurity,68.15978551997252,65.28925619834712,74.7564277985648,46.32768361581922,41.95402298850575,74.70473786727261,38.285714285714285,50.54945054945056,70.28571428571428,56.87500000000001,Cybersecurity
3,5,50,6,10,6,9,7,7,2,40.63256088395984,Cybersecurity,46.651387588987646,40.909090909090914,34.989032002490454,68.36158192090396,66.0919540229885,27.598017800553222,67.42857142857143,70.32967032967034,24.571428571428573,75.62500000000001,Software Testing
8,9,76,10,1,5,1,4,7,7,72.02468519677728,DevOps Engineering,55.280804769548396,40.909090909090914,57.87716050111781,36.723163841807924,31.034482758620697,57.93929982523187,29.142857142857142,25.274725274725284,47.14285714285714,43.125,Cloud Computing
6,5,95,0,1,3,5,7,7,5,60.30047180264202,DevOps Engineering,49.77364624782463,49.173553719008254,68.74243509600126,49.71751412429379,33.33333333333334,72.50747654330951,29.714285714285708,36.26373626373628,69.71428571428571,35.625,Cloud Computing
3,5,57,2,6,5,9,2,6,1,50.05497218439373,Cybersecurity,52.18315062864735,38.429752066115704,45.94652338641116,31.63841807909604,33.9080459770115,39.51295226766209,36.00000000000001,36.26373626373628,29.714285714285708,62.50000000000002,Software Testing
1,8,95,10,2,1,7,1,8,7,52.98033779027552,Cloud Computing,41.98072661326755,60.74380165289255,65.39643886180849,22.033898305084744,8.620689655172415,69.44111688200317,9.142857142857142,7.692307692307697,86.28571428571428,67.5,DevOps Engineering
3,7,91,3,1,3,6,2,9,7,57.447736646444284,Software Testing,48.06780905310429,52.479338842975196,64.4325387713486,31.07344632768362,19.540229885057474,67.54912775011199,18.85714285714285,15.384615384615385,68.57142857142857,51.24999999999999,DevOps Engineering
5,7,66,0,6,4,6,4,2,10,35.84189463275857,DevOps Engineering,34.069477026407505,31.40495867768595,33.23389599544564,27.118644067796605,29.885057471264364,32.18553004769946,30.85714285714286,38.46153846153847,26.000000000000007,19.374999999999996,Game Development
3,6,58,4,2,5,7,8,7,6,38.684017111542104,UI/UX Design,39.14842796965207,35.95041322314049,33.76353277455479,58.75706214689266,47.12643678160921,29.644966634894594,43.42857142857143,51.648351648351664,25.71428571428571,55.62499999999999,UI/UX Design
1,5,55,9,6,10,1,3,2,4,30.68627613155407,DevOps Engineering,28.485790948391674,38.842975206611555,20.557406372046586,28.8135593220339,50.57471264367817,17.254337827985054,52.0,48.35164835164836,18.285714285714285,35.0,Mobile Development
5,9,92,2,10,9,4,10,6,8,40.39627365181641,Game Development,42.5653978015654,66.11570247933884,51.19262493824933,83.61581920903954,86.78160919540231,56.13618077914487,86.2857142857143,87.91208791208791,63.7142857142857,36.875,Game Development
7,8,74,1,8,4,1,6,2,2,52.542897558903114,DevOps Engineering,37.73777272817059,24.793388429752063,47.511256326354165,40.67796610169492,41.37931034482759,47.14288043740814,42.285714285714285,46.15384615384617,35.714285714285715,10.0,Cybersecurity
7,8,88,2,2,3,6,6,10,2,72.07925161665992,Software Testing,61.56595962731254,48.760330578512395,74.89261107966034,56.49717514124294,37.356321839080465,75.55000093179245,34.857142857142854,35.16483516483518,67.14285714285714,58.12500000000001,Cloud Computing
9,7,98,7,11,10,4,9,6,2,76.00585245965547,Game Development,74.25394293365267,80.57851239669421,81.13575626393424,81.35593220338984,89.65517241379311,84.44141352141526,90.28571428571429,89.01098901098902,84.57142857142856,58.12500000000001,Mobile Development
3,5,77,5,9,1,1,9,2,3,30.42662876012655,DevOps Engineering,12.936851012319185,22.314049586776854,34.85951494347582,54.23728813559321,41.95402298850575,36.55713473206141,41.71428571428571,51.64835164835166,44.85714285714287,15.000000000000005,UI/UX Design
7,6,82,6,8,10,9,4,1,6,69.82260009072132,Data Science,78.79287870299906,80.57851239669421,70.95761011995052,33.898305084745765,56.89655172413794,70.35884731453679,58.85714285714286,65.93406593406593,66.85714285714285,56.87500000000001,Backend Development
1,5,86,5,10,6,4,9,7,1,30.407216929327586,UI/UX Design,27.22760568438039,54.958677685950406,45.53913014423118,78.5310734463277,72.98850574712642,48.21741609759515,73.14285714285714,73.62637362637365,65.42857142857143,52.500000000000014,UI/UX Design
4,4,58,5,1,7,6,6,3,2,48.24936591966363,Backend Development,48.69333795907536,40.909090909090914,41.037337056392225,35.59322033898306,39.08045977011495,35.878597071852234,35.99999999999999,46.15384615384617,28.57142857142857,48.75,Software Testing
4,5,67,2,7,10,7,2,4,10,33.33350177974361,Mobile Development,44.59727402732342,57.43801652892561,33.5430828803419,32.203389830508485,52.87356321839081,32.61296932550063,55.42857142857143,52.74725274725276,32.28571428571428,42.5,Backend Development
